,1200,10    ,1200,8	,1200,8	    ,1200,8	,1200,8	    ,1200,8
,4580,50    ,4580,53	,4580,55    ,4580,52	,4580,54    ,4580,52
,7960,125   ,7960,135	,7960,132   ,7960,133	,7960,133   ,7960,132
,11340,226  ,11340,239	,11340,236  ,11340,244	,11340,240  ,11340,240
,14720,357  ,14720,374	,14720,372  ,14720,372	,14720,371  ,14720,369
,18100,525  ,18100,537	,18100,546  ,18100,536	,18100,543  ,18100,534
,21480,719  ,21480,741	,21480,736  ,21480,740	,21480,736  ,21480,731
,24860,940  ,24860,969	,24860,967  ,24860,965	,24860,985  ,24860,966
,28240,1201 ,28240,1212 ,28240,1236 ,28240,1223 ,28240,1212 ,28240,1232
,31620,1487 ,31620,1529 ,31620,1506 ,31620,1522 ,31620,1509 ,31620,1526
,35000,1808 ,35000,1884 ,35000,1861 ,35000,1844 ,35000,1832 ,35000,1825
