,1200,7	    ,1200,8	,1200,5	    ,1200,15	,1200,4	    ,1200,9
,4580,54    ,4580,45	,4580,45    ,4580,43	,4580,44    ,4580,44
,7960,158   ,7960,118	,7960,117   ,7960,116	,7960,118   ,7960,119
,11340,313  ,11340,227	,11340,222  ,11340,230	,11340,232  ,11340,229
,14720,520  ,14720,374	,14720,381  ,14720,380	,14720,382  ,14720,374
,18100,778  ,18100,567	,18100,573  ,18100,578	,18100,575  ,18100,572
,21480,1092 ,21480,800	,21480,798  ,21480,807	,21480,807  ,21480,805
,24860,1458 ,24860,1072 ,24860,1063 ,24860,1066 ,24860,1071 ,24860,1078
,28240,1874 ,28240,1381 ,28240,1366 ,28240,1365 ,28240,1382 ,28240,1374
,31620,2345 ,31620,1729 ,31620,1722 ,31620,1725 ,31620,1710 ,31620,1725
,35000,2864 ,35000,2100 ,35000,2095 ,35000,2103 ,35000,2099 ,35000,2103
