,2300,17    ,2300,16	,2300,16    ,2300,20	,2300,16    ,2300,15
,5770,60    ,5770,82	,5770,82    ,5770,83	,5770,83    ,5770,84
,9240,147   ,9240,189	,9240,192   ,9240,203	,9240,193   ,9240,192
,12710,266  ,12710,335	,12710,334  ,12710,334	,12710,341  ,12710,340
,16180,423  ,16180,556	,16180,553  ,16180,556	,16180,554  ,16180,558
,19650,618  ,19650,829	,19650,823  ,19650,823	,19650,823  ,19650,828
,23120,849  ,23120,1110 ,23120,1110 ,23120,1121 ,23120,1110 ,23120,1111
,26590,1131 ,26590,1461 ,26590,1464 ,26590,1466 ,26590,1460 ,26590,1491
,30060,1432 ,30060,1856 ,30060,1856 ,30060,1858 ,30060,1858 ,30060,1873
,33530,1782 ,33530,2304 ,33530,2302 ,33530,2302 ,33530,2303 ,33530,2306
,37000,2179 ,37000,2798 ,37000,2796 ,37000,2805 ,37000,2797 ,37000,2798
