,2300,11    ,2300,11	,2300,14    ,2300,14	,2300,17    ,2300,15
,5770,58    ,5770,60	,5770,67    ,5770,73	,5770,76    ,5770,72
,9240,138   ,9240,146	,9240,155   ,9240,178	,9240,179   ,9240,169
,12710,248  ,12710,266	,12710,283  ,12710,320	,12710,323  ,12710,294
,16180,395  ,16180,419	,16180,452  ,16180,511	,16180,513  ,16180,459
,19650,579  ,19650,621	,19650,662  ,19650,756	,19650,752  ,19650,639
,23120,794  ,23120,856	,23120,906  ,23120,984	,23120,991  ,23120,902
,26590,1053 ,26590,1136 ,26590,1180 ,26590,1265 ,26590,1290 ,26590,1175
,30060,1338 ,30060,1456 ,30060,1492 ,30060,1594 ,30060,1600 ,30060,1504
,33530,1662 ,33530,1844 ,33530,1864 ,33530,1931 ,33530,1933 ,33530,1854
,37000,2011 ,37000,2231 ,37000,2254 ,37000,2329 ,37000,2343 ,37000,2270
