,2300,16    ,2300,13	,2300,14    ,2300,14	,2300,14    ,2300,14
,5770,59    ,5770,62	,5770,62    ,5770,62	,5770,60    ,5770,62
,9240,139   ,9240,152	,9240,151   ,9240,154	,9240,154   ,9240,154
,12710,244  ,12710,262	,12710,265  ,12710,262	,12710,266  ,12710,258
,16180,384  ,16180,399	,16180,398  ,16180,398	,16180,398  ,16180,406
,19650,560  ,19650,590	,19650,589  ,19650,594	,19650,584  ,19650,584
,23120,766  ,23120,792	,23120,801  ,23120,791	,23120,802  ,23120,792
,26590,1010 ,26590,1052 ,26590,1041 ,26590,1038 ,26590,1036 ,26590,1042
,30060,1284 ,30060,1313 ,30060,1343 ,30060,1330 ,30060,1333 ,30060,1315
,33530,1583 ,33530,1650 ,33530,1639 ,33530,1618 ,33530,1616 ,33530,1621
,37000,1958 ,37000,1978 ,37000,1981 ,37000,1970 ,37000,2029 ,37000,1981
