,2300,17    ,2300,14	,2300,14    ,2300,17	,2300,21    ,2300,20
,5770,67    ,5770,68	,5770,75    ,5770,78	,5770,77    ,5770,80
,9240,159   ,9240,160	,9240,165   ,9240,174	,9240,169   ,9240,191
,12710,282  ,12710,285	,12710,290  ,12710,294	,12710,297  ,12710,371
,16180,443  ,16180,449	,16180,455  ,16180,468	,16180,460  ,16180,462
,19650,644  ,19650,656	,19650,663  ,19650,677	,19650,665  ,19650,665
,23120,879  ,23120,893	,23120,906  ,23120,926	,23120,904  ,23120,907
,26590,1161 ,26590,1176 ,26590,1202 ,26590,1205 ,26590,1195 ,26590,1192
,30060,1475 ,30060,1488 ,30060,1492 ,30060,1506 ,30060,1505 ,30060,1510
,33530,1819 ,33530,1860 ,33530,1866 ,33530,1856 ,33530,1852 ,33530,1863
,37000,2202 ,37000,2216 ,37000,2222 ,37000,2273 ,37000,2245 ,37000,2233
