,17    ,21    ,18    ,19    ,19	   ,21	  ,18	 ,23	,23    ,18
,23    ,29    ,20    ,22    ,24	   ,24	  ,27	 ,35	,21    ,28
,26    ,26    ,23    ,31    ,26	   ,28	  ,28	 ,28	,24    ,23
,30    ,26    ,29    ,35    ,28	   ,27	  ,23	 ,29	,27    ,31
,29    ,29    ,34    ,33    ,30	   ,30	  ,33	 ,30	,31    ,32
,34    ,32    ,34    ,36    ,36	   ,33	  ,33	 ,35	,30    ,39
,40    ,38    ,36    ,38    ,37	   ,41	  ,40	 ,35	,35    ,34
,43    ,38    ,43    ,39    ,44	   ,40	  ,41	 ,43	,51    ,39
,42    ,49    ,49    ,45    ,41	   ,44	  ,43	 ,46	,41    ,44
,47    ,48    ,47    ,46    ,55	   ,54	  ,49	 ,47	,45    ,45
,61    ,53    ,60    ,58    ,51	   ,50	  ,54	 ,54	,54    ,53
