,6641	       ,36553	      ,30753	     ,32131	    ,29410	   ,39743	  ,44437	 ,22191
,20326	       ,106040	      ,65068	     ,67713	    ,58070	   ,58049	  ,19397	 ,82318
,34805	       ,171550	      ,98876	     ,90902	    ,83502	   ,84579	  ,77613	 ,90568
,48800	       ,238777	      ,131403	     ,119252	    ,30974	   ,98265	  ,95067	 ,26649
,62089	       ,305468	      ,167581	     ,143442	    ,118492	   ,31936	  ,25456	 ,29869
,75571	       ,372840	      ,66467	     ,79165	    ,142442	   ,134630	  ,34056	 ,45330
,87164	       ,439430	      ,69679	     ,197243	    ,43016	   ,152756	  ,33264	 ,38540
,100808	       ,135777	      ,67212	     ,220324	    ,48482	   ,46227	  ,39902	 ,32770
,113643	       ,157121	      ,80916	     ,63406	    ,202618	   ,139459	  ,44138	 ,44096
,126879	       ,238488	      ,89402	     ,76756	    ,62394	   ,51050	  ,140911	 ,43121
,150953	       ,421743	      ,117789	     ,81776	    ,68034	   ,57734	  ,48574	 ,43363
