,4668		 ,5172		  ,4978		   ,4187	    ,5014	     ,5283	      ,10576
,25038		 ,22295		  ,19000	   ,19034	    ,18108	     ,18256	      ,20075
,52435		 ,43386		  ,38706	   ,37103	    ,35823	     ,35585	      ,37617
,83303		 ,65515		  ,59485	   ,55060	    ,55085	     ,52977	      ,52502
,457792		 ,130380	  ,121042	   ,112884	    ,112786	     ,108504	      ,104736
,464276		 ,201488	  ,188393	   ,172567	    ,170808	     ,165598	      ,159749
,865783		 ,270199	  ,256046	   ,235203	    ,233887	     ,224398	      ,214735
,1164365	 ,361930	  ,325400	   ,293061	    ,294382	     ,284298	      ,271882
,1413029	 ,413248	  ,390892	   ,357740	    ,359136	     ,344317	      ,329430
,1408617	 ,472683	  ,458453	   ,426102	    ,417857	     ,408246	      ,389338
,1611133	 ,542874	  ,519657	   ,485528	    ,481570	     ,468840	      ,447170
,1874641	 ,618599	  ,588089	   ,551980	    ,551016	     ,528856	      ,505581
,1637564	 ,694052	  ,652836	   ,616889	    ,615481	     ,595466	      ,567137
,1524780	 ,757598	  ,732705	   ,678631	    ,676602	     ,656062	      ,628613
,1687815	 ,832261	  ,798183	   ,746262	    ,741706	     ,720772	      ,689089
,1817947	 ,908451	  ,860335	   ,814163	    ,807746	     ,787335	      ,751029
,1799542	 ,981314	  ,926284	   ,879964	    ,870922	     ,852019	      ,813021
,1840859	 ,1065992	  ,984269	   ,941216	    ,940009	     ,908690	      ,872693
,1891472	 ,1126997	  ,1059637	   ,992954	    ,1001684	     ,975133	      ,933333
,1878734	 ,1200114	  ,1134686	   ,1067894	    ,1055228	     ,1035448	      ,988952
,1852646	 ,1275475	  ,1201495	   ,1137419	    ,1128676	     ,1091455	      ,1052973
,1989614	 ,1353288	  ,1268045	   ,1206299	    ,1192888	     ,1153498	      ,1115337
,2014948	 ,1430128	  ,1336919	   ,1267347	    ,1268224	     ,1224341	      ,1178794
,2074109	 ,1504134	  ,1413293	   ,1343217	    ,1321810	     ,1284682	      ,1242770
,2133538	 ,1580312	  ,1474466	   ,1400830	    ,1397717	     ,1342029	      ,1304902
,2146391	 ,1657885	  ,1540210	   ,1474061	    ,1462117	     ,1414387	      ,1369866
,2239314	 ,1731561	  ,1622133	   ,1539990	    ,1527580	     ,1481655	      ,1436479
,2331641	 ,1813864	  ,1693471	   ,1615592	    ,1590466	     ,1551721	      ,1503215
,2381441	 ,1889063	  ,1766781	   ,1676915	    ,1645609	     ,1600795	      ,1560854
,2480482	 ,1966685	  ,1834473	   ,1747778	    ,1725872	     ,1669724	      ,1631539
,2559024	 ,2043233	  ,1896589	   ,1810469	    ,1786044	     ,1744228	      ,1693609
,2655970	 ,2118794	  ,1976355	   ,1881593	    ,1854671	     ,1810573	      ,1757105
,2744256	 ,2194405	  ,2037946	   ,1946702	    ,1918577	     ,1866539	      ,1818000
