,128	  ,104	    ,100      ,136	,126	  ,123	    ,157
,150	  ,141	    ,133      ,157	,134	  ,139	    ,164
,205	  ,191	    ,171      ,168	,164	  ,165	    ,184
,273	  ,223	    ,235      ,224	,202	  ,199	    ,215
,1040	  ,348	    ,320      ,303	,324	  ,296	    ,296
,1038	  ,479	    ,443      ,411	,408	  ,395	    ,395
,1825	  ,611	    ,554      ,510	,506	  ,503	    ,480
,2383	  ,770	    ,681      ,616	,600	  ,586	    ,565
,2855	  ,851	    ,803      ,743	,724	  ,680	    ,673
,2865	  ,980	    ,899      ,834	,802	  ,800	    ,775
,3252	  ,1106	    ,992      ,909	,918	  ,875	    ,858
,3749	  ,1251	    ,1132     ,1049	,1014	  ,988	    ,970
,3263	  ,1351	    ,1220     ,1166	,1126	  ,1139	    ,1074
,3051	  ,1465	    ,1341     ,1250	,1197	  ,1191	    ,1153
,3337	  ,1569	    ,1438     ,1349	,1326	  ,1315	    ,1173
,3566	  ,1737	    ,1551     ,1445	,1443	  ,1397	    ,1309
,3516	  ,1856	    ,1656     ,1531	,1531	  ,1530	    ,1408
,3615	  ,1995	    ,1755     ,1654	,1636	  ,1609	    ,1501
,3747	  ,2117	    ,1894     ,1757	,1735	  ,1705	    ,1549
,3701	  ,2201	    ,2006     ,1854	,1853	  ,1835	    ,1745
,3642	  ,2327	    ,2087     ,1928	,1937	  ,1864	    ,1830
,3902	  ,2488	    ,2192     ,2085	,2064	  ,2002	    ,1886
,3956	  ,2609	    ,2317     ,2183	,2109	  ,2112	    ,1995
,4052	  ,2734	    ,2411     ,2252	,2278	  ,2233	    ,2034
,4216	  ,2885	    ,2503     ,2412	,2381	  ,2360	    ,2176
,4203	  ,2988	    ,2628     ,2490	,2492	  ,2409	    ,2293
,4365	  ,3133	    ,2806     ,2593	,2587	  ,2461	    ,2379
,4558	  ,3282	    ,2881     ,2724	,2622	  ,2533	    ,2539
,4655	  ,3420	    ,3018     ,2828	,2752	  ,2745	    ,2541
,4813	  ,3490	    ,3120     ,2897	,2876	  ,2819	    ,2735
,4974	  ,3637	    ,3188     ,3053	,2901	  ,2834	    ,2738
,5175	  ,3820	    ,3290     ,3054	,3014	  ,2961	    ,2955
,5312	  ,3899	    ,3424     ,3179	,3176	  ,3097	    ,3059
