,46913		 ,47312		  ,46332	   ,48314	    ,48734	     ,45342	      ,47689
,47206		 ,50188		  ,60107	   ,65250	    ,47722	     ,70687	      ,44238
,46847		 ,55102		  ,48396	   ,66975	    ,64239	     ,52874	      ,51840
,51202		 ,60290		  ,61819	   ,60095	    ,55019	     ,54664	      ,50792
,52301		 ,62023		  ,57155	   ,52771	    ,55255	     ,53189	      ,49591
,59752		 ,57051		  ,55297	   ,53104	    ,48493	     ,50442	      ,46265
,59089		 ,58028		  ,54533	   ,50794	    ,51739	     ,51747	      ,50061
,50339		 ,55433		  ,52082	   ,47046	    ,47199	     ,47373	      ,50405
,56376		 ,52548		  ,51888	   ,50334	    ,47832	     ,47972	      ,53348
,50273		 ,54696		  ,54940	   ,54191	    ,53440	     ,52541	      ,54077
,54200		 ,51321		  ,49424	   ,49248	    ,49058	     ,49138	      ,49093
,54541		 ,52152		  ,53810	   ,53884	    ,52354	     ,53048	      ,51933
,53273		 ,55877		  ,56884	   ,53299	    ,56061	     ,52698	      ,51158
,54374		 ,52784		  ,54731	   ,52442	    ,55618	     ,54472	      ,55852
,54041		 ,50886		  ,55153	   ,55851	    ,53552	     ,55508	      ,54691
,56193		 ,55403		  ,51803	   ,62251	    ,58028	     ,56433	      ,59696
,52509		 ,54436		  ,56805	   ,55278	    ,55959	     ,55172	      ,57879
,56903		 ,57618		  ,56451	   ,52591	    ,57117	     ,56286	      ,56404
,57781		 ,72051		  ,57168	   ,58277	    ,56220	     ,59378	      ,56600
,54073		 ,57330		  ,59478	   ,58474	    ,60144	     ,62605	      ,61173
,57073		 ,58541		  ,57794	   ,55412	    ,62308	     ,54680	      ,54505
,58250		 ,59428		  ,56405	   ,60027	    ,58967	     ,58610	      ,58104
,59273		 ,61761		  ,62215	   ,60273	    ,61336	     ,60650	      ,58142
,63221		 ,60863		  ,61200	   ,56497	    ,60179	     ,59951	      ,60860
,56868		 ,60710		  ,61636	   ,64031	    ,60370	     ,62825	      ,59428
,61529		 ,64234		  ,61716	   ,60871	    ,58090	     ,62876	      ,63551
,69864		 ,75028		  ,75099	   ,72972	    ,71796	     ,72088	      ,69878
,72939		 ,66466		  ,73139	   ,73227	    ,69712	     ,72356	      ,72610
,71187		 ,70961		  ,67446	   ,71682	    ,72004	     ,73218	      ,74828
,68977		 ,75178		  ,71561	   ,67750	    ,68294	     ,75074	      ,67740
,72762		 ,73573		  ,73660	   ,71518	    ,69234	     ,71025	      ,71861
,70233		 ,71434		  ,73770	   ,76085	    ,73676	     ,76978	      ,73284
,72395		 ,72915		  ,77013	   ,75078	    ,74655	     ,75640	      ,76091
