,251		 ,248		  ,251		   ,267		    ,259	     ,251	      ,245
,252		 ,260		  ,295		   ,327		    ,256	     ,346	      ,258
,263		 ,283		  ,269		   ,331		    ,342	     ,286	      ,258
,275		 ,320		  ,327		   ,302		    ,281	     ,295	      ,263
,285		 ,328		  ,296		   ,273		    ,323	     ,272	      ,273
,293		 ,281		  ,296		   ,268		    ,249	     ,248	      ,247
,308		 ,283		  ,270		   ,254		    ,257	     ,257	      ,255
,283		 ,294		  ,282		   ,269		    ,266	     ,273	      ,270
,285		 ,288		  ,282		   ,284		    ,287	     ,290	      ,285
,288		 ,300		  ,311		   ,299		    ,302	     ,308	      ,308
,309		 ,304		  ,309		   ,313		    ,309	     ,309	      ,308
,320		 ,323		  ,324		   ,319		    ,312	     ,327	      ,317
,340		 ,345		  ,341		   ,326		    ,339	     ,335	      ,326
,348		 ,332		  ,351		   ,332		    ,347	     ,350	      ,353
,369		 ,346		  ,359		   ,356		    ,350	     ,361	      ,360
,388		 ,365		  ,356		   ,391		    ,420	     ,369	      ,386
,371		 ,396		  ,378		   ,384		    ,379	     ,380	      ,396
,395		 ,434		  ,399		   ,374		    ,403	     ,400	      ,404
,403		 ,457		  ,414		   ,413		    ,401	     ,414	      ,409
,403		 ,398		  ,441		   ,439		    ,440	     ,446	      ,445
,434		 ,427		  ,430		   ,570		    ,470	     ,424	      ,412
,456		 ,487		  ,457		   ,471		    ,454	     ,468	      ,503
,507		 ,520		  ,507		   ,505		    ,513	     ,523	      ,498
,549		 ,538		  ,531		   ,535		    ,543	     ,550	      ,547
,560		 ,736		  ,594		   ,603		    ,579	     ,593	      ,726
,629		 ,631		  ,625		   ,643		    ,595	     ,627	      ,643
,666		 ,705		  ,680		   ,664		    ,676	     ,669	      ,677
,702		 ,684		  ,896		   ,733		    ,723	     ,739	      ,730
,746		 ,783		  ,733		   ,767		    ,776	     ,780	      ,758
,772		 ,798		  ,777		   ,775		    ,790	     ,834	      ,770
,843		 ,819		  ,836		   ,819		    ,814	     ,812	      ,828
,848		 ,849		  ,865		   ,867		    ,862	     ,876	      ,853
,880		 ,894		  ,901		   ,908		    ,892	     ,896	      ,885
