,9485		 ,6245		  ,7036		   ,6502	    ,7389	     ,7931	      ,11180
,26937		 ,22294		  ,23952	   ,26731	    ,19839	     ,29321	      ,21211
,53204		 ,48238		  ,40862	   ,53035	    ,51101	     ,41608	      ,36438
,89996		 ,82825		  ,78197	   ,64037	    ,58984	     ,62971	      ,52718
,177777		 ,177553	  ,132738	   ,115596	    ,121280	     ,105839	      ,104650
,325083		 ,229273	  ,201665	   ,179412	    ,162912	     ,162418	      ,159337
,450446		 ,299426	  ,267295	   ,224400	    ,224381	     ,219129	      ,216113
,422688		 ,376726	  ,319751	   ,287161	    ,280830	     ,275628	      ,273114
,512855		 ,402819	  ,361288	   ,343613	    ,337348	     ,332187	      ,330953
,602059		 ,469891	  ,474394	   ,408271	    ,401324	     ,393696	      ,389623
,692892		 ,541153	  ,492937	   ,476921	    ,459911	     ,449279	      ,447274
,782980		 ,615682	  ,559421	   ,530116	    ,519727	     ,512236	      ,508349
,875416		 ,688165	  ,621918	   ,592019	    ,582214	     ,571884	      ,568168
,965315		 ,758199	  ,689161	   ,658215	    ,645406	     ,635010	      ,629258
,1057111	 ,831677	  ,761130	   ,725914	    ,703061	     ,695183	      ,688720
,1149109	 ,906690	  ,828441	   ,787052	    ,767929	     ,752917	      ,748304
,1241834	 ,985762	  ,895645	   ,850130	    ,832495	     ,818392	      ,812083
,1336540	 ,1056463	  ,962740	   ,914859	    ,891593	     ,879047	      ,871399
,1425364	 ,1127971	  ,1031479	   ,977476	    ,955372	     ,931158	      ,928710
,1516252	 ,1202909	  ,1095467	   ,1041954	    ,1014852	     ,996659	      ,992028
,1610006	 ,1276057	  ,1159605	   ,1108480	    ,1079499	     ,1056709	      ,1051148
,1704500	 ,1353179	  ,1230958	   ,1175159	    ,1142516	     ,1121378	      ,1116111
,1798545	 ,1428754	  ,1299741	   ,1242895	    ,1207356	     ,1179863	      ,1180358
,1893132	 ,1504308	  ,1369854	   ,1308665	    ,1271078	     ,1247628	      ,1247080
,1988963	 ,1579572	  ,1438965	   ,1375002	    ,1334966	     ,1309550	      ,1307671
,2084849	 ,1659010	  ,1510900	   ,1445063	    ,1404640	     ,1380309	      ,1375891
,2176703	 ,1732312	  ,1577546	   ,1507478	    ,1463921	     ,1443363	      ,1438123
,2275047	 ,1813225	  ,1654096	   ,1583074	    ,1534548	     ,1509212	      ,1505351
,2369309	 ,1885060	  ,1720108	   ,1646149	    ,1598534	     ,1572695	      ,1565256
,2458188	 ,1966132	  ,1795165	   ,1715754	    ,1664225	     ,1639158	      ,1636393
,2555615	 ,2043566	  ,1862376	   ,1781096	    ,1731336	     ,1707198	      ,1698052
,2644536	 ,2120059	  ,1934789	   ,1850512	    ,1793063	     ,1769610	      ,1760695
,2741983	 ,2192951	  ,2000380	   ,1915545	    ,1855788	     ,1831258	      ,1818968
