,260	  ,273	    ,247      ,288	,262	  ,263	    ,277
,265	  ,275	    ,308      ,328	,269	  ,369	    ,291
,298	  ,345	    ,306      ,384	,383	  ,328	    ,315
,352	  ,390	    ,391      ,358	,342	  ,361	    ,331
,485	  ,520	    ,448      ,425	,431	  ,401	    ,407
,670	  ,564	    ,532      ,498	,489	  ,487	    ,501
,813	  ,651	    ,607      ,564	,569	  ,547	    ,569
,747	  ,737	    ,668      ,641	,643	  ,634	    ,657
,861	  ,771	    ,739      ,721	,722	  ,710	    ,741
,960	  ,862	    ,889      ,815	,805	  ,800	    ,829
,1069	  ,946	    ,931      ,914	,903	  ,913	    ,913
,1176	  ,1042	    ,1005     ,1000	,959	  ,967	    ,1004
,1277	  ,1152	    ,1095     ,1050	,1086	  ,1067	    ,1035
,1380	  ,1215	    ,1159     ,1135	,1160	  ,1126	    ,1162
,1492	  ,1329	    ,1277     ,1220	,1214	  ,1226	    ,1239
,1604	  ,1422	    ,1338     ,1316	,1320	  ,1320	    ,1312
,1732	  ,1539	    ,1451     ,1414	,1369	  ,1434	    ,1418
,1828	  ,1627	    ,1542     ,1474	,1456	  ,1456	    ,1488
,1929	  ,1715	    ,1642     ,1576	,1538	  ,1597	    ,1613
,2030	  ,1821	    ,1684     ,1658	,1633	  ,1708	    ,1691
,2152	  ,1935	    ,1795     ,1773	,1732	  ,1744	    ,1753
,2257	  ,2022	    ,1922     ,1831	,1828	  ,1836	    ,1884
,2366	  ,2102	    ,2004     ,1943	,1895	  ,1903	    ,1929
,2481	  ,2215	    ,2104     ,2045	,2009	  ,2062	    ,1977
,2585	  ,2272	    ,2136     ,2077	,2092	  ,2095	    ,2053
,2692	  ,2386	    ,2247     ,2236	,2167	  ,2128	    ,2256
,2850	  ,2517	    ,2358     ,2337	,2256	  ,2233	    ,2236
,2935	  ,2578	    ,2455     ,2445	,2375	  ,2387	    ,2413
,3051	  ,2682	    ,2592     ,2445	,2500	  ,2482	    ,2499
,3151	  ,2790	    ,2639     ,2576	,2577	  ,2535	    ,2584
,3270	  ,2903	    ,2686     ,2707	,2597	  ,2658	    ,2641
,3381	  ,3020	    ,2830     ,2798	,2659	  ,2737	    ,2735
,3472	  ,3093	    ,2988     ,2825	,2775	  ,2817	    ,2908
