,152			 ,155			  ,165			   ,155			    ,150		     ,156		      ,164		       ,146			,159			 ,154
,178			 ,169			  ,161			   ,165			    ,170		     ,172		      ,164		       ,169			,169			 ,167
,181			 ,192			  ,193			   ,179			    ,179		     ,182		      ,178		       ,179			,185			 ,175
,199			 ,198			  ,200			   ,204			    ,207		     ,200		      ,194		       ,206			,204			 ,195
,223			 ,215			  ,218			   ,221			    ,216		     ,227		      ,216		       ,217			,217			 ,217
,241			 ,241			  ,240			   ,237			    ,232		     ,234		      ,237		       ,240			,236			 ,231
,254			 ,251			  ,251			   ,290			    ,254		     ,280		      ,258		       ,255			,246			 ,253
,277			 ,274			  ,277			   ,266			    ,269		     ,286		      ,276		       ,282			,279			 ,271
,297			 ,290			  ,302			   ,296			    ,301		     ,294		      ,291		       ,296			,301			 ,303
,338			 ,317			  ,313			   ,307			    ,309		     ,302		      ,316		       ,310			,302			 ,309
,327			 ,332			  ,357			   ,329			    ,339		     ,335		      ,329		       ,328			,333			 ,326
