,690			 ,664			  ,583			   ,606			    ,690		     ,631		      ,571		       ,626			,673			 ,610
,1264			 ,1239			  ,1355			   ,1265		    ,1248		     ,1306		      ,1298		       ,1315			,1258			 ,1323
,2033			 ,2021			  ,1949			   ,2034		    ,1904		     ,2028		      ,1951		       ,2025			,1911			 ,1911
,2627			 ,2681			  ,2608			   ,2705		    ,2680		     ,2542		      ,2651		       ,2535			,2596			 ,2525
,3297			 ,3299			  ,3262			   ,3269		    ,3284		     ,3260		      ,3237		       ,3285			,3291			 ,3287
,4039			 ,3984			  ,4102			   ,4147		    ,3995		     ,4031		      ,4042		       ,4023			,4097			 ,3688
,4959			 ,4478			  ,4716			   ,4844		    ,4930		     ,4437		      ,4471		       ,4821			,4637			 ,4557
,5058			 ,5518			  ,5133			   ,5477		    ,5100		     ,5059		      ,5317		       ,5325			,5184			 ,5468
,5780			 ,5806			  ,5765			   ,5943		    ,5862		     ,5902		      ,5794		       ,5891			,5848			 ,5877
,6439			 ,6496			  ,6558			   ,6528		    ,6451		     ,6439		      ,6475		       ,6625			,6496			 ,6489
,7330			 ,7332			  ,7213			   ,7298		    ,7154		     ,7241		      ,7137		       ,7125			,7119			 ,7217
