,16013			 ,15096			  ,16332		   ,15628		    ,15445		     ,15742		      ,16832		       ,14499			,16363			 ,14510
,18764			 ,16899			  ,15870		   ,17341		    ,18018		     ,17001		      ,17518		       ,17078			,17516			 ,16731
,18580			 ,18096			  ,16339		   ,19388		    ,16843		     ,16798		      ,17373		       ,17757			,18720			 ,18589
,18074			 ,18343			  ,18145		   ,20123		    ,18688		     ,18907		      ,19403		       ,18273			,17756			 ,18009
,20149			 ,17864			  ,20246		   ,18435		    ,17675		     ,20094		      ,17822		       ,17955			,20044			 ,17431
,18761			 ,19487			  ,20053		   ,20208		    ,18667		     ,18432		      ,21243		       ,19509			,21275			 ,18543
,20278			 ,23013			  ,17769		   ,20986		    ,19815		     ,16467		      ,17034		       ,16737			,21480			 ,21533
,17847			 ,19001			  ,18039		   ,17768		    ,18516		     ,17866		      ,17287		       ,18351			,19080			 ,18999
,16379			 ,20768			  ,23351		   ,23075		    ,24467		     ,19818		      ,23038		       ,24001			,23906			 ,20931
,19435			 ,18846			  ,19797		   ,19460		    ,19504		     ,17139		      ,19230		       ,19852			,17773			 ,20393
,17472			 ,18122			  ,17435		   ,19049		    ,18003		     ,18122		      ,18953		       ,18176			,18520			 ,17751
