,6103			 ,5788			  ,5886			   ,5648		    ,5952		     ,5835		      ,5736		       ,5681			,6596			 ,5702
,17553			 ,16846			  ,17036		   ,17218		    ,17448		     ,17111		      ,16778		       ,16788			,17820			 ,17187
,29325			 ,30454			  ,29060		   ,30845		    ,29150		     ,29068		      ,29065		       ,28880			,28674			 ,28532
,42368			 ,41453			  ,41947		   ,41932		    ,42086		     ,41935		      ,42927		       ,41547			,40980			 ,41977
,53807			 ,54178			  ,53820		   ,54143		    ,53872		     ,53483		      ,53776		       ,54136			,53412			 ,53742
,66230			 ,67719			  ,66464		   ,66827		    ,66626		     ,67826		      ,66686		       ,67312			,67058			 ,66281
,80503			 ,79571			  ,79757		   ,79291		    ,79474		     ,80266		      ,79857		       ,79626			,79360			 ,80376
,93433			 ,93968			  ,92705		   ,93157		    ,92576		     ,93135		      ,93082		       ,93566			,92874			 ,93943
,105202			 ,105398		  ,105202		   ,105667		    ,105795		     ,105896		      ,105844		       ,105133			,104502			 ,104964
,119572			 ,118350		  ,118724		   ,118671		    ,119415		     ,118577		      ,117555		       ,118547			,118784			 ,118573
,132118			 ,131226		  ,132282		   ,132287		    ,130523		     ,132846		      ,131934		       ,131968			,131931			 ,132371
