,258			 ,253			  ,251			   ,253			    ,251		     ,264		      ,259		       ,268			,250			 ,264
,269			 ,284			  ,315			   ,295			    ,293		     ,345		      ,278		       ,293			,296			 ,269
,335			 ,299			  ,312			   ,298			    ,294		     ,347		      ,321		       ,320			,386			 ,371
,308			 ,368			  ,340			   ,434			    ,356		     ,318		      ,359		       ,337			,354			 ,494
,363			 ,464			  ,422			   ,334			    ,392		     ,408		      ,457		       ,399			,364			 ,329
,498			 ,407			  ,503			   ,377			    ,398		     ,508		      ,361		       ,388			,436			 ,437
,445			 ,444			  ,381			   ,409			    ,372		     ,446		      ,490		       ,425			,490			 ,445
,475			 ,426			  ,464			   ,424			    ,451		     ,428		      ,548		       ,421			,510			 ,397
,424			 ,498			  ,490			   ,476			    ,465		     ,600		      ,559		       ,491			,430			 ,471
,500			 ,537			  ,564			   ,578			    ,475		     ,596		      ,486		       ,610			,515			 ,509
,621			 ,560			  ,521			   ,508			    ,454		     ,569		      ,467		       ,587			,496			 ,574
