,608			 ,590			  ,615			   ,622			    ,750		     ,598		      ,615		       ,585			,588			 ,572
,653			 ,637			  ,710			   ,637			    ,749		     ,655		      ,661		       ,696			,649			 ,664
,744			 ,678			  ,740			   ,748			    ,697		     ,738		      ,694		       ,730			,816			 ,718
,739			 ,776			  ,839			   ,863			    ,835		     ,851		      ,705		       ,853			,779			 ,782
,860			 ,797			  ,831			   ,852			    ,868		     ,786		      ,943		       ,973			,812			 ,793
,868			 ,835			  ,787			   ,935			    ,749		     ,747		      ,760		       ,801			,771			 ,843
,825			 ,893			  ,848			   ,888			    ,836		     ,832		      ,868		       ,863			,918			 ,824
,859			 ,836			  ,897			   ,916			    ,850		     ,828		      ,843		       ,867			,907			 ,861
,943			 ,967			  ,1007			   ,941			    ,936		     ,986		      ,961		       ,928			,953			 ,1019
,818			 ,926			  ,950			   ,888			    ,898		     ,864		      ,901		       ,901			,881			 ,923
,929			 ,889			  ,924			   ,856			    ,877		     ,918		      ,874		       ,860			,912			 ,862
