,19042			 ,18583			  ,17091		   ,17394		    ,18141		     ,17592		      ,18728		       ,19194			,18742			 ,18579
,19171			 ,17265			  ,17089		   ,20658		    ,18806		     ,17930		      ,19532		       ,18406			,19969			 ,22030
,19167			 ,17168			  ,18652		   ,19603		    ,20348		     ,19782		      ,19769		       ,20779			,18854			 ,19546
,20300			 ,18251			  ,17460		   ,17862		    ,18185		     ,19060		      ,21158		       ,19774			,18086			 ,18500
,17905			 ,31338			  ,17098		   ,18815		    ,18713		     ,19165		      ,19310		       ,18714			,18882			 ,19379
,17863			 ,18745			  ,17847		   ,17798		    ,18377		     ,17556		      ,19031		       ,20312			,18660			 ,17511
,23084			 ,23288			  ,25073		   ,22719		    ,22021		     ,22380		      ,21262		       ,22640			,19913			 ,21856
,17685			 ,19222			  ,18529		   ,17719		    ,18659		     ,18601		      ,18711		       ,19296			,19136			 ,18594
,18327			 ,17378			  ,19092		   ,19144		    ,18594		     ,18099		      ,17789		       ,18900			,18896			 ,18200
,19375			 ,18660			  ,18749		   ,18596		    ,19236		     ,18558		      ,19149		       ,18224			,18581			 ,17899
,19069			 ,18515			  ,18600		   ,20772		    ,18329		     ,18880		      ,19106		       ,17645			,18909			 ,18540
