,98			 ,103			  ,99			   ,93			    ,104		     ,97		      ,116		       ,105			,102			 ,99
,133			 ,147			  ,134			   ,138			    ,136		     ,137		      ,140		       ,134			,141			 ,134
,171			 ,162			  ,166			   ,161			    ,161		     ,175		      ,166		       ,166			,166			 ,167
,189			 ,188			  ,208			   ,181			    ,185		     ,191		      ,196		       ,191			,194			 ,186
,218			 ,214			  ,223			   ,224			    ,226		     ,217		      ,220		       ,240			,224			 ,223
,242			 ,238			  ,238			   ,235			    ,246		     ,245		      ,246		       ,262			,249			 ,319
,270			 ,279			  ,279			   ,271			    ,278		     ,284		      ,272		       ,281			,268			 ,274
,304			 ,306			  ,304			   ,306			    ,295		     ,303		      ,300		       ,303			,303			 ,293
,341			 ,332			  ,329			   ,331			    ,336		     ,336		      ,330		       ,333			,326			 ,335
,359			 ,389			  ,370			   ,351			    ,411		     ,380		      ,349		       ,359			,351			 ,402
,389			 ,415			  ,378			   ,419			    ,398		     ,399		      ,412		       ,407			,432			 ,380
