,17052			 ,17514			  ,16821		   ,17431		    ,16673		     ,20207		      ,17440		       ,17409			,18251			 ,16909
,18623			 ,20244			  ,18334		   ,18968		    ,18856		     ,19122		      ,16686		       ,18837			,17499			 ,19620
,21352			 ,21274			  ,22390		   ,21456		    ,20282		     ,20740		      ,22184		       ,19871			,21610			 ,21028
,22574			 ,23301			  ,24935		   ,24479		    ,27195		     ,22507		      ,22749		       ,24782			,23728			 ,24539
,26143			 ,27690			  ,26761		   ,25748		    ,25619		     ,28211		      ,26620		       ,26425			,26682			 ,26989
,30541			 ,29688			  ,29401		   ,28961		    ,28316		     ,27151		      ,29372		       ,28309			,29097			 ,28711
,32900			 ,31490			  ,32047		   ,30677		    ,31234		     ,30408		      ,35008		       ,31936			,30686			 ,32117
,36657			 ,34985			  ,35505		   ,35265		    ,35359		     ,37471		      ,35950		       ,35105			,36935			 ,34619
,37982			 ,38350			  ,35637		   ,37260		    ,36599		     ,40147		      ,35921		       ,36708			,36789			 ,38953
,41445			 ,40161			  ,41052		   ,40835		    ,41805		     ,39029		      ,40384		       ,40699			,38059			 ,39634
,44039			 ,44472			  ,46483		   ,44310		    ,42680		     ,43977		      ,44280		       ,44975			,44063			 ,45572
