,161			 ,154			  ,139			   ,158			    ,161		     ,139		      ,129		       ,143			,147			 ,163
,316			 ,284			  ,314			   ,299			    ,300		     ,307		      ,280		       ,308			,281			 ,300
,459			 ,470			  ,421			   ,467			    ,428		     ,483		      ,454		       ,459			,460			 ,427
,624			 ,611			  ,606			   ,607			    ,622		     ,565		      ,631		       ,574			,622			 ,567
,759			 ,730			  ,734			   ,752			    ,740		     ,757		      ,746		       ,748			,747			 ,731
,1013			 ,939			  ,918			   ,902			    ,933		     ,908		      ,911		       ,910			,909			 ,928
,1152			 ,1077			  ,1090			   ,1102		    ,1101		     ,1091		      ,1146		       ,1072			,1072			 ,1086
,1142			 ,1279			  ,1158			   ,1312		    ,1195		     ,1151		      ,1165		       ,1333			,1154			 ,1376
,1362			 ,1312			  ,1349			   ,1409		    ,1427		     ,1413		      ,1300		       ,1436			,1315			 ,1460
,1470			 ,1588			  ,1475			   ,1459		    ,1459		     ,1484		      ,1501		       ,1484			,1489			 ,1499
,1627			 ,1612			  ,1643			   ,1621		    ,1642		     ,1632		      ,1625		       ,1667			,1628			 ,1608
