,2311			 ,2417			  ,2355			   ,2290		    ,2281		     ,2358		      ,2257		       ,2364			,2390			 ,2340
,3477			 ,2757			  ,2806			   ,2727		    ,2880		     ,2756		      ,2635		       ,2585			,3621			 ,4832
,3929			 ,4806			  ,6127			   ,3380		    ,3258		     ,4222		      ,3071		       ,3338			,3766			 ,2634
,4742			 ,4515			  ,3844			   ,4671		    ,3895		     ,4436		      ,3709		       ,4771			,3551			 ,3892
,4829			 ,3838			  ,3981			   ,3889		    ,5165		     ,3968		      ,3967		       ,4960			,4697			 ,4872
,4363			 ,4766			  ,4418			   ,5082		    ,4145		     ,4374		      ,4289		       ,4414			,4933			 ,4316
,4845			 ,4602			  ,4445			   ,4487		    ,5199		     ,4267		      ,4148		       ,5751			,5050			 ,4563
,4503			 ,5198			  ,5208			   ,4564		    ,4664		     ,5371		      ,5356		       ,4492			,5229			 ,4460
,6033			 ,4931			  ,5087			   ,4830		    ,4715		     ,4859		      ,4913		       ,4741			,4669			 ,4620
,4703			 ,5128			  ,4795			   ,5245		    ,4812		     ,6092		      ,5115		       ,5239			,4844			 ,4936
,5698			 ,5172			  ,4851			   ,4895		    ,5015		     ,5142		      ,5122		       ,4949			,5062			 ,5258
