,5144			 ,5306			  ,4844			   ,5100		    ,5272		     ,5314		      ,5304		       ,6144			,5267			 ,5196
,17790			 ,17781			  ,18048		   ,18531		    ,17515		     ,17759		      ,17837		       ,17699			,18144			 ,18371
,29734			 ,29353			  ,30106		   ,29879		    ,28792		     ,29595		      ,29593		       ,30760			,29352			 ,29812
,41777			 ,41299			  ,42783		   ,42350		    ,42496		     ,42255		      ,42008		       ,43231			,41943			 ,42856
,55914			 ,55407			  ,54046		   ,54974		    ,54822		     ,53769		      ,54381		       ,55563			,55078			 ,54053
,67117			 ,68050			  ,66712		   ,66115		    ,66739		     ,67327		      ,67603		       ,68246			,67207			 ,67820
,80406			 ,80287			  ,80827		   ,79887		    ,80912		     ,80186		      ,80194		       ,80556			,79226			 ,80348
,94067			 ,93703			  ,92491		   ,94007		    ,94281		     ,91885		      ,93102		       ,93026			,93009			 ,92712
,106075			 ,106458		  ,105380		   ,105455		    ,105862		     ,104835		      ,106306		       ,104654			,105730			 ,106343
,119407			 ,119073		  ,118527		   ,119550		    ,119268		     ,118788		      ,119100		       ,118434			,119743			 ,119366
,132181			 ,133200		  ,132240		   ,132447		    ,132795		     ,130915		      ,132594		       ,133066			,132807			 ,133680
