,277			 ,272			  ,252			   ,252			    ,320		     ,381		      ,261		       ,290			,305			 ,261
,272			 ,312			  ,278			   ,267			    ,287		     ,284		      ,283		       ,302			,293			 ,270
,307			 ,290			  ,352			   ,304			    ,310		     ,343		      ,303		       ,307			,308			 ,305
,368			 ,362			  ,365			   ,330			    ,318		     ,364		      ,316		       ,387			,347			 ,461
,361			 ,342			  ,360			   ,368			    ,318		     ,363		      ,338		       ,359			,391			 ,445
,421			 ,344			  ,450			   ,361			    ,387		     ,351		      ,330		       ,367			,403			 ,467
,424			 ,388			  ,424			   ,362			    ,405		     ,367		      ,367		       ,436			,376			 ,390
,389			 ,372			  ,439			   ,374			    ,396		     ,418		      ,378		       ,382			,380			 ,398
,464			 ,418			  ,409			   ,391			    ,414		     ,406		      ,417		       ,392			,412			 ,471
,403			 ,415			  ,429			   ,420			    ,408		     ,415		      ,433		       ,458			,416			 ,409
,440			 ,468			  ,435			   ,522			    ,426		     ,450		      ,426		       ,427			,505			 ,496
