,8886			 ,10781			  ,10982		   ,11402		    ,9903		     ,12323		      ,12591		       ,10610			,9936			 ,10529
,11978			 ,11303			  ,13596		   ,13008		    ,12165		     ,12006		      ,11934		       ,12580			,11699			 ,12684
,14308			 ,16740			  ,15902		   ,15573		    ,16317		     ,18618		      ,16003		       ,16220			,17794			 ,13932
,19695			 ,23718			  ,21988		   ,20122		    ,22359		     ,19344		      ,20791		       ,20373			,22662			 ,20162
,25412			 ,24223			  ,24495		   ,22659		    ,23805		     ,24292		      ,27148		       ,33704			,23365			 ,21224
,28016			 ,27058			  ,27798		   ,26986		    ,26154		     ,28528		      ,28354		       ,30713			,25144			 ,29340
,31321			 ,30666			  ,30753		   ,33479		    ,31202		     ,32726		      ,28496		       ,31065			,30439			 ,30463
,34386			 ,31961			  ,34444		   ,34034		    ,35804		     ,34995		      ,37118		       ,34509			,33205			 ,33042
,35076			 ,38371			  ,39150		   ,41638		    ,41993		     ,35561		      ,40683		       ,41170			,41025			 ,37975
,41656			 ,42275			  ,44325		   ,40121		    ,50886		     ,42116		      ,43195		       ,39949			,45705			 ,39597
,49610			 ,50691			  ,51308		   ,47848		    ,49003		     ,52271		      ,48102		       ,47073			,47130			 ,44221
