,53303			 ,54779			  ,47996		   ,48881		    ,67172		     ,76540		      ,46621		       ,56140			,61852			 ,48379
,48497			 ,58689			  ,48493		   ,47353		    ,53318		     ,47304		      ,53099		       ,48190			,54096			 ,48301
,56250			 ,44586			  ,61528		   ,50457		    ,53756		     ,63061		      ,51959		       ,59255			,52630			 ,50967
,62654			 ,64641			  ,58739		   ,52343		    ,51579		     ,58111		      ,51145		       ,66991			,57736			 ,81055
,59222			 ,48618			  ,57486		   ,58755		    ,50662		     ,55430		      ,52534		       ,54982			,65547			 ,71048
,62468			 ,48887			  ,68155		   ,53326		    ,58255		     ,48864		      ,47679		       ,54243			,60786			 ,67665
,66468			 ,52233			  ,62668		   ,46141		    ,53817		     ,47842		      ,55053		       ,62831			,50531			 ,51227
,50293			 ,46406			  ,58657		   ,50702		    ,53230		     ,58471		      ,46463		       ,47730			,51251			 ,54940
,57420			 ,51696			  ,52540		   ,48765		    ,54668		     ,51098		      ,52183		       ,48011			,53706			 ,64342
,50235			 ,49512			  ,54080		   ,51380		    ,47967		     ,48635		      ,51285		       ,55335			,49565			 ,49141
,52214			 ,52748			  ,54265		   ,65504		    ,48463		     ,52597		      ,51134		       ,49849			,59144			 ,57097
