,571			 ,733			  ,593			   ,586			    ,610		     ,587		      ,590		       ,564			,583			 ,584
,640			 ,614			  ,621			   ,626			    ,784		     ,651		      ,624		       ,629			,628			 ,622
,695			 ,675			  ,677			   ,701			    ,672		     ,687		      ,671		       ,883			,739			 ,671
,692			 ,723			  ,717			   ,715			    ,728		     ,689		      ,710		       ,831			,709			 ,698
,841			 ,778			  ,796			   ,847			    ,766		     ,800		      ,777		       ,781			,855			 ,763
,763			 ,829			  ,764			   ,752			    ,741		     ,741		      ,750		       ,741			,767			 ,764
,848			 ,792			  ,787			   ,789			    ,799		     ,844		      ,807		       ,887			,968			 ,795
,883			 ,916			  ,875			   ,830			    ,853		     ,876		      ,872		       ,924			,870			 ,829
,952			 ,935			  ,958			   ,973			    ,936		     ,954		      ,977		       ,1044			,966			 ,1130
,908			 ,887			  ,905			   ,916			    ,875		     ,936		      ,888		       ,874			,891			 ,897
,873			 ,897			  ,902			   ,892			    ,911		     ,909		      ,856		       ,875			,891			 ,880
