,248			 ,240			  ,255			   ,255			    ,266		     ,247		      ,251		       ,258			,248			 ,250
,254			 ,250			  ,249			   ,257			    ,263		     ,268		      ,246		       ,251			,256			 ,246
,268			 ,262			  ,258			   ,259			    ,270		     ,266		      ,252		       ,263			,288			 ,256
,263			 ,273			  ,258			   ,270			    ,283		     ,258		      ,260		       ,324			,263			 ,262
,286			 ,265			  ,281			   ,293			    ,265		     ,274		      ,261		       ,258			,303			 ,255
,271			 ,301			  ,272			   ,270			    ,281		     ,263		      ,262		       ,262			,266			 ,273
,318			 ,272			  ,266			   ,277			    ,273		     ,298		      ,268		       ,329			,293			 ,276
,295			 ,313			  ,298			   ,263			    ,274		     ,294		      ,285		       ,316			,277			 ,267
,485			 ,469			  ,315			   ,335			    ,310		     ,313		      ,307		       ,381			,325			 ,342
,299			 ,287			  ,307			   ,306			    ,282		     ,317		      ,280		       ,309			,289			 ,305
,232			 ,251			  ,264			   ,248			    ,288		     ,257		      ,233		       ,232			,248			 ,243
