,9989			 ,9641			  ,11464		   ,11040		    ,11933		     ,11708		      ,10426		       ,9840			,9907			 ,10755
,11129			 ,11479			  ,11314		   ,11938		    ,13285		     ,11099		      ,10858		       ,10857			,11330			 ,11215
,12756			 ,13586			  ,12878		   ,11619		    ,11523		     ,14143		      ,14674		       ,11719			,13919			 ,10652
,12313			 ,13992			  ,15277		   ,13315		    ,14199		     ,11577		      ,13178		       ,13818			,13992			 ,12969
,12917			 ,11824			  ,13334		   ,11942		    ,13389		     ,12749		      ,14277		       ,19822			,13542			 ,13701
,11795			 ,18342			  ,13005		   ,12305		    ,12498		     ,14030		      ,13996		       ,15291			,12452			 ,14406
,14411			 ,11869			  ,12341		   ,13022		    ,13136		     ,13731		      ,12538		       ,12201			,13870			 ,13165
,13574			 ,13571			  ,14466		   ,13897		    ,12639		     ,14212		      ,12874		       ,12867			,14262			 ,13984
,13414			 ,13282			  ,13071		   ,13531		    ,13892		     ,13188		      ,12754		       ,13116			,12730			 ,13745
,14303			 ,13569			  ,14065		   ,14555		    ,14355		     ,13390		      ,14170		       ,14824			,13965			 ,14755
,13776			 ,14621			  ,13785		   ,13606		    ,13611		     ,13815		      ,13902		       ,14300			,14288			 ,14093
