,11862			 ,12789			  ,12631		   ,12356		    ,12726		     ,12475		      ,13112		       ,14161			,12417			 ,12502
,20985			 ,19906			  ,19353		   ,20517		    ,20483		     ,19855		      ,21113		       ,20014			,20126			 ,22025
,29928			 ,30886			  ,31764		   ,31275		    ,29738		     ,32816		      ,30623		       ,31956			,31124			 ,33977
,41191			 ,43175			  ,42076		   ,40492		    ,41000		     ,41192		      ,41129		       ,41021			,41344			 ,40504
,53460			 ,52128			  ,51603		   ,52515		    ,52859		     ,52122		      ,52439		       ,52078			,51838			 ,53074
,62977			 ,65549			  ,63221		   ,63996		    ,63429		     ,62835		      ,65377		       ,64244			,64086			 ,63111
,75430			 ,74711			  ,75484		   ,75502		    ,76973		     ,75827		      ,75074		       ,75999			,75003			 ,74896
,87517			 ,88701			  ,89120		   ,87668		    ,89141		     ,87642		      ,88874		       ,87593			,88101			 ,87729
,97987			 ,98327			  ,100250		   ,99439		    ,100274		     ,100103		      ,98889		       ,99579			,98917			 ,99174
,109757			 ,115575		  ,110439		   ,110024		    ,110300		     ,111811		      ,111027		       ,111224			,111726			 ,110929
,122840			 ,124669		  ,123008		   ,123790		    ,123292		     ,124462		      ,122887		       ,123451			,124176			 ,123871
